PRISM Time Series Data
Location:  Lat: 45.4937   Lon: -89.5857   Elev: 464m
Climate variable: ppt
Spatial resolution: 4km
Period: 2021-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Jun-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm)
2021-07-09,0.00
2021-07-10,0.00
2021-07-11,0.00
2021-07-12,0.00
2021-07-13,0.00
2021-07-14,0.00
2021-07-15,17.94
2021-07-16,0.00
2021-07-17,0.00
2021-07-18,0.00
2021-07-19,0.00
2021-07-20,0.00
2021-07-21,0.00
2021-07-22,2.66
2021-07-23,5.98
2021-07-24,16.52
2021-07-25,1.30
2021-07-26,0.00
2021-07-27,27.48
2021-07-28,0.28
2021-07-29,17.08
2021-07-30,0.00
2021-07-31,0.00
2021-08-01,0.00
2021-08-02,0.00
2021-08-03,0.00
2021-08-04,0.00
2021-08-05,0.00
2021-08-06,3.61
2021-08-07,0.00
2021-08-08,16.79
2021-08-09,41.26
2021-08-10,0.34
2021-08-11,0.36
2021-08-12,6.07
2021-08-13,1.90
2021-08-14,0.00
2021-08-15,0.00
2021-08-16,0.00
2021-08-17,0.00
2021-08-18,0.00
2021-08-19,0.00
2021-08-20,0.00
2021-08-21,0.30
2021-08-22,0.87
2021-08-23,0.00
2021-08-24,0.00
2021-08-25,12.23
2021-08-26,0.00
2021-08-27,1.99
2021-08-28,7.39
2021-08-29,24.20
2021-08-30,0.00
2021-08-31,0.00
2021-09-01,0.00
2021-09-02,0.00
2021-09-03,0.00
2021-09-04,3.87
2021-09-05,1.49
2021-09-06,0.32
2021-09-07,8.21
2021-09-08,2.22
2021-09-09,0.00
2021-09-10,0.00
2021-09-11,0.00
2021-09-12,0.00
2021-09-13,0.00
2021-09-14,24.55
2021-09-15,0.00
2021-09-16,0.00
2021-09-17,0.00
2021-09-18,0.00
2021-09-19,0.00
2021-09-20,0.00
2021-09-21,3.53
2021-09-22,0.00
2021-09-23,0.00
2021-09-24,0.00
2021-09-25,9.81
2021-09-26,0.00
2021-09-27,0.00
2021-09-28,0.00
2021-09-29,0.00
2021-09-30,0.00
2021-10-01,0.00
2021-10-02,7.93
2021-10-03,4.92
2021-10-04,1.90
2021-10-05,0.00
2021-10-06,0.00
2021-10-07,0.00
2021-10-08,0.55
2021-10-09,0.00
2021-10-10,0.90
2021-10-11,0.38
2021-10-12,4.99
2021-10-13,1.38
2021-10-14,0.00
2021-10-15,0.00
2021-10-16,0.00
2021-10-17,0.00
2021-10-18,0.00
2021-10-19,0.00
2021-10-20,0.00
2021-10-21,10.39
2021-10-22,0.53
2021-10-23,0.00
2021-10-24,0.00
2021-10-25,0.00
2021-10-26,0.00
2021-10-27,0.00
2021-10-28,0.00
2021-10-29,4.56
2021-10-30,0.33
2021-10-31,0.00
2021-11-01,0.00
2021-11-02,0.00
2021-11-03,0.00
2021-11-04,0.00
2021-11-05,0.00
2021-11-06,0.00
2021-11-07,0.00
2021-11-08,0.00
2021-11-09,0.00
2021-11-10,0.00
2021-11-11,9.72
2021-11-12,11.73
2021-11-13,0.43
2021-11-14,5.53
2021-11-15,0.00
2021-11-16,0.00
2021-11-17,0.00
2021-11-18,0.00
2021-11-19,0.00
2021-11-20,0.00
2021-11-21,0.00
2021-11-22,0.54
2021-11-23,0.00
2021-11-24,0.00
2021-11-25,0.00
2021-11-26,0.34
2021-11-27,0.62
2021-11-28,0.62
2021-11-29,0.00
2021-11-30,4.95
2021-12-01,0.47
2021-12-02,0.00
2021-12-03,0.42
2021-12-04,0.00
2021-12-05,2.86
2021-12-06,10.66
2021-12-07,0.00
2021-12-08,0.52
2021-12-09,0.00
2021-12-10,1.05
2021-12-11,17.84
2021-12-12,0.40
2021-12-13,0.00
2021-12-14,0.00
2021-12-15,0.00
2021-12-16,5.62
2021-12-17,0.14
2021-12-18,0.58
2021-12-19,0.00
2021-12-20,0.00
2021-12-21,0.00
2021-12-22,3.31
2021-12-23,0.00
2021-12-24,0.00
2021-12-25,1.05
2021-12-26,0.00
2021-12-27,6.68
2021-12-28,0.00
2021-12-29,3.31
2021-12-30,0.00
2021-12-31,0.00
